icd_code,long_title
A229,"Anthrax, unspecified"
A23,Brucellosis
A230,Brucellosis due to Brucella melitensis
A231,Brucellosis due to Brucella abortus
A232,Brucellosis due to Brucella suis
A233,Brucellosis due to Brucella canis
A238,Other brucellosis
A239,"Brucellosis, unspecified"
A24,Glanders and melioidosis
A240,Glanders
A241,Acute and fulminating melioidosis
A242,Subacute and chronic melioidosis
A243,Other melioidosis
A249,"Melioidosis, unspecified"
A25,Rat-bite fevers
A250,Spirillosis
A251,Streptobacillosis
A259,"Rat-bite fever, unspecified"
A26,Erysipeloid
A260,Cutaneous erysipeloid
A267,Erysipelothrix sepsis
A268,Other forms of erysipeloid
A269,"Erysipeloid, unspecified"
A27,Leptospirosis
A270,Leptospirosis icterohemorrhagica
A278,Other forms of leptospirosis
A2781,Aseptic meningitis in leptospirosis
A2789,Other forms of leptospirosis
A279,"Leptospirosis, unspecified"
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A280,Pasteurellosis
A281,Cat-scratch disease
A282,Extraintestinal yersiniosis
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A289,"Zoonotic bacterial disease, unspecified"
A30,Leprosy [Hansen's disease]
A300,Indeterminate leprosy
A301,Tuberculoid leprosy
A302,Borderline tuberculoid leprosy
A303,Borderline leprosy
A304,Borderline lepromatous leprosy
A305,Lepromatous leprosy
A308,Other forms of leprosy
A309,"Leprosy, unspecified"
A31,Infection due to other mycobacteria
A310,Pulmonary mycobacterial infection
A311,Cutaneous mycobacterial infection
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC)
A318,Other mycobacterial infections
A319,"Mycobacterial infection, unspecified"
A32,Listeriosis
A320,Cutaneous listeriosis
A321,Listerial meningitis and meningoencephalitis
A3211,Listerial meningitis
A3212,Listerial meningoencephalitis
A327,Listerial sepsis
A328,Other forms of listeriosis
A3281,Oculoglandular listeriosis
A3282,Listerial endocarditis
A3289,Other forms of listeriosis
A329,"Listeriosis, unspecified"
A33,Tetanus neonatorum
A34,Obstetrical tetanus
A35,Other tetanus
A36,Diphtheria
A360,Pharyngeal diphtheria
A361,Nasopharyngeal diphtheria
A362,Laryngeal diphtheria
A363,Cutaneous diphtheria
A368,Other diphtheria
A3681,Diphtheritic cardiomyopathy
A3682,Diphtheritic radiculomyelitis
A3683,Diphtheritic polyneuritis
A3684,Diphtheritic tubulo-interstitial nephropathy
A3685,Diphtheritic cystitis
A3686,Diphtheritic conjunctivitis
A3689,Other diphtheritic complications
A369,"Diphtheria, unspecified"
A37,Whooping cough
A370,Whooping cough due to Bordetella pertussis
A3700,Whooping cough due to Bordetella pertussis without pneumonia
A3701,Whooping cough due to Bordetella pertussis with pneumonia
A371,Whooping cough due to Bordetella parapertussis
A3710,Whooping cough due to Bordetella parapertussis without pneumonia
A3711,Whooping cough due to Bordetella parapertussis with pneumonia
A378,Whooping cough due to other Bordetella species
A3780,Whooping cough due to other Bordetella species without pneumonia
A3781,Whooping cough due to other Bordetella species with pneumonia
A379,"Whooping cough, unspecified species"
A3790,"Whooping cough, unspecified species without pneumonia"
A3791,"Whooping cough, unspecified species with pneumonia"
A38,Scarlet fever
A380,Scarlet fever with otitis media
A381,Scarlet fever with myocarditis
A388,Scarlet fever with other complications
A389,"Scarlet fever, uncomplicated"
A39,Meningococcal infection
A390,Meningococcal meningitis
A391,Waterhouse-Friderichsen syndrome
A392,Acute meningococcemia
A393,Chronic meningococcemia
A394,"Meningococcemia, unspecified"
A395,Meningococcal heart disease
A3950,"Meningococcal carditis, unspecified"
A3951,Meningococcal endocarditis
A3952,Meningococcal myocarditis
A3953,Meningococcal pericarditis
A398,Other meningococcal infections
A3981,Meningococcal encephalitis
A3982,Meningococcal retrobulbar neuritis
A3983,Meningococcal arthritis
A3984,Postmeningococcal arthritis
A3989,Other meningococcal infections
A399,"Meningococcal infection, unspecified"
A40,Streptococcal sepsis
A400,"Sepsis due to streptococcus, group A"
A401,"Sepsis due to streptococcus, group B"
A403,Sepsis due to Streptococcus pneumoniae
A408,Other streptococcal sepsis
A409,"Streptococcal sepsis, unspecified"
A41,Other sepsis
A410,Sepsis due to Staphylococcus aureus
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus
A411,Sepsis due to other specified staphylococcus
A412,Sepsis due to unspecified staphylococcus
A413,Sepsis due to Hemophilus influenzae
A414,Sepsis due to anaerobes
A415,Sepsis due to other Gram-negative organisms
A4150,"Gram-negative sepsis, unspecified"
A4151,Sepsis due to Escherichia coli [E. coli]
A4152,Sepsis due to Pseudomonas
A4153,Sepsis due to Serratia
A4159,Other Gram-negative sepsis
A418,Other specified sepsis
A4181,Sepsis due to Enterococcus
A4189,Other specified sepsis
A419,"Sepsis, unspecified organism"
A42,Actinomycosis
A420,Pulmonary actinomycosis
A421,Abdominal actinomycosis
A422,Cervicofacial actinomycosis
A427,Actinomycotic sepsis
A428,Other forms of actinomycosis
A4281,Actinomycotic meningitis
A4282,Actinomycotic encephalitis
A4289,Other forms of actinomycosis
A429,"Actinomycosis, unspecified"
A43,Nocardiosis
A430,Pulmonary nocardiosis
A431,Cutaneous nocardiosis
A438,Other forms of nocardiosis
A439,"Nocardiosis, unspecified"
A44,Bartonellosis
A440,Systemic bartonellosis
A441,Cutaneous and mucocutaneous bartonellosis
A448,Other forms of bartonellosis
A449,"Bartonellosis, unspecified"
A46,Erysipelas
A48,"Other bacterial diseases, not elsewhere classified"
A480,Gas gangrene
A481,Legionnaires' disease
A482,Nonpneumonic Legionnaires' disease [Pontiac fever]
A483,Toxic shock syndrome
A484,Brazilian purpuric fever
A485,Other specified botulism
A4851,Infant botulism
A4852,Wound botulism
A488,Other specified bacterial diseases
A49,Bacterial infection of unspecified site
A490,"Staphylococcal infection, unspecified site"
A4901,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A4902,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
A491,"Streptococcal infection, unspecified site"
A492,"Hemophilus influenzae infection, unspecified site"
A493,"Mycoplasma infection, unspecified site"
A498,Other bacterial infections of unspecified site
A499,"Bacterial infection, unspecified"
A50,Congenital syphilis
A500,"Early congenital syphilis, symptomatic"
A5001,Early congenital syphilitic oculopathy
A5002,Early congenital syphilitic osteochondropathy
A5003,Early congenital syphilitic pharyngitis
A5004,Early congenital syphilitic pneumonia
A5005,Early congenital syphilitic rhinitis
A5006,Early cutaneous congenital syphilis
A5007,Early mucocutaneous congenital syphilis
A5008,Early visceral congenital syphilis
A5009,"Other early congenital syphilis, symptomatic"
A501,"Early congenital syphilis, latent"
A502,"Early congenital syphilis, unspecified"
A503,Late congenital syphilitic oculopathy
A5030,"Late congenital syphilitic oculopathy, unspecified"
A5031,Late congenital syphilitic interstitial keratitis
A5032,Late congenital syphilitic chorioretinitis
A5039,Other late congenital syphilitic oculopathy
A504,Late congenital neurosyphilis [juvenile neurosyphilis]
A5040,"Late congenital neurosyphilis, unspecified"
A5041,Late congenital syphilitic meningitis
A5042,Late congenital syphilitic encephalitis
A5043,Late congenital syphilitic polyneuropathy
A5044,Late congenital syphilitic optic nerve atrophy
A5045,Juvenile general paresis
A5049,Other late congenital neurosyphilis
A505,"Other late congenital syphilis, symptomatic"
A5051,Clutton's joints
A5052,Hutchinson's teeth
A5053,Hutchinson's triad
A5054,Late congenital cardiovascular syphilis
A5055,Late congenital syphilitic arthropathy
A5056,Late congenital syphilitic osteochondropathy
A5057,Syphilitic saddle nose
A5059,"Other late congenital syphilis, symptomatic"
A506,"Late congenital syphilis, latent"
A507,"Late congenital syphilis, unspecified"
A509,"Congenital syphilis, unspecified"
A51,Early syphilis
A510,Primary genital syphilis
A511,Primary anal syphilis
A512,Primary syphilis of other sites
A513,Secondary syphilis of skin and mucous membranes
A5131,Condyloma latum
A5132,Syphilitic alopecia
A5139,Other secondary syphilis of skin
A514,Other secondary syphilis
A5141,Secondary syphilitic meningitis
A5142,Secondary syphilitic female pelvic disease
A5143,Secondary syphilitic oculopathy
A5144,Secondary syphilitic nephritis
A5145,Secondary syphilitic hepatitis
A5146,Secondary syphilitic osteopathy
A5149,Other secondary syphilitic conditions
A515,"Early syphilis, latent"
A519,"Early syphilis, unspecified"
A52,Late syphilis
A520,Cardiovascular and cerebrovascular syphilis
A5200,"Cardiovascular syphilis, unspecified"
A5201,Syphilitic aneurysm of aorta
A5202,Syphilitic aortitis
A5203,Syphilitic endocarditis
A5204,Syphilitic cerebral arteritis
A5205,Other cerebrovascular syphilis
A5206,Other syphilitic heart involvement
A5209,Other cardiovascular syphilis
A521,Symptomatic neurosyphilis
A5210,"Symptomatic neurosyphilis, unspecified"
A5211,Tabes dorsalis
A5212,Other cerebrospinal syphilis
A5213,Late syphilitic meningitis
A5214,Late syphilitic encephalitis
A5215,Late syphilitic neuropathy
A5216,Charcot's arthropathy (tabetic)
A5217,General paresis
A5219,Other symptomatic neurosyphilis
A522,Asymptomatic neurosyphilis
A523,"Neurosyphilis, unspecified"
A527,Other symptomatic late syphilis
A5271,Late syphilitic oculopathy
A5272,Syphilis of lung and bronchus
A5273,Symptomatic late syphilis of other respiratory organs
A5274,Syphilis of liver and other viscera
A5275,Syphilis of kidney and ureter
A5276,Other genitourinary symptomatic late syphilis
A5277,Syphilis of bone and joint
A5278,Syphilis of other musculoskeletal tissue
A5279,Other symptomatic late syphilis
A528,"Late syphilis, latent"
A529,"Late syphilis, unspecified"
A53,Other and unspecified syphilis
A530,"Latent syphilis, unspecified as early or late"
A539,"Syphilis, unspecified"
A54,Gonococcal infection
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A5400,"Gonococcal infection of lower genitourinary tract, unspecified"
A5401,"Gonococcal cystitis and urethritis, unspecified"
A5402,"Gonococcal vulvovaginitis, unspecified"
A5403,"Gonococcal cervicitis, unspecified"
A5409,Other gonococcal infection of lower genitourinary tract
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A5421,Gonococcal infection of kidney and ureter
A5422,Gonococcal prostatitis
A5423,Gonococcal infection of other male genital organs
A5424,Gonococcal female pelvic inflammatory disease
A5429,Other gonococcal genitourinary infections
A543,Gonococcal infection of eye
A5430,"Gonococcal infection of eye, unspecified"
A5431,Gonococcal conjunctivitis
A5432,Gonococcal iridocyclitis
A5433,Gonococcal keratitis
A5439,Other gonococcal eye infection
A544,Gonococcal infection of musculoskeletal system
A5440,"Gonococcal infection of musculoskeletal system, unspecified"
A5441,Gonococcal spondylopathy
A5442,Gonococcal arthritis
A5443,Gonococcal osteomyelitis
A5449,Gonococcal infection of other musculoskeletal tissue
A545,Gonococcal pharyngitis
A546,Gonococcal infection of anus and rectum
A548,Other gonococcal infections
A5481,Gonococcal meningitis
A5482,Gonococcal brain abscess
A5483,Gonococcal heart infection
A5484,Gonococcal pneumonia
A5485,Gonococcal peritonitis
A5486,Gonococcal sepsis
A5489,Other gonococcal infections
A549,"Gonococcal infection, unspecified"
A55,Chlamydial lymphogranuloma (venereum)
A56,Other sexually transmitted chlamydial diseases
A560,Chlamydial infection of lower genitourinary tract
A5600,"Chlamydial infection of lower genitourinary tract, unspecified"
A5601,Chlamydial cystitis and urethritis
A5602,Chlamydial vulvovaginitis
A5609,Other chlamydial infection of lower genitourinary tract
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs
A5611,Chlamydial female pelvic inflammatory disease
A5619,Other chlamydial genitourinary infection
A562,"Chlamydial infection of genitourinary tract, unspecified"
A563,Chlamydial infection of anus and rectum
A564,Chlamydial infection of pharynx
A568,Sexually transmitted chlamydial infection of other sites
A57,Chancroid
A58,Granuloma inguinale
A59,Trichomoniasis
A590,Urogenital trichomoniasis
A5900,"Urogenital trichomoniasis, unspecified"
A5901,Trichomonal vulvovaginitis
A5902,Trichomonal prostatitis
A5903,Trichomonal cystitis and urethritis
A5909,Other urogenital trichomoniasis
A598,Trichomoniasis of other sites
A599,"Trichomoniasis, unspecified"
A60,Anogenital herpesviral [herpes simplex] infections
A600,Herpesviral infection of genitalia and urogenital tract
A6000,"Herpesviral infection of urogenital system, unspecified"
A6001,Herpesviral infection of penis
A6002,Herpesviral infection of other male genital organs
A6003,Herpesviral cervicitis
A6004,Herpesviral vulvovaginitis
A6009,Herpesviral infection of other urogenital tract
A601,Herpesviral infection of perianal skin and rectum
A609,"Anogenital herpesviral infection, unspecified"
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A630,Anogenital (venereal) warts
A638,Other specified predominantly sexually transmitted diseases
A64,Unspecified sexually transmitted disease
A65,Nonvenereal syphilis
A66,Yaws
A660,Initial lesions of yaws
A661,Multiple papillomata and wet crab yaws
A662,Other early skin lesions of yaws
A663,Hyperkeratosis of yaws
A664,Gummata and ulcers of yaws
A665,Gangosa
A666,Bone and joint lesions of yaws
A667,Other manifestations of yaws
A668,Latent yaws
A669,"Yaws, unspecified"
A67,Pinta [carate]
A670,Primary lesions of pinta
A671,Intermediate lesions of pinta
A672,Late lesions of pinta
A673,Mixed lesions of pinta
A679,"Pinta, unspecified"
A68,Relapsing fevers
A680,Louse-borne relapsing fever
A681,Tick-borne relapsing fever
A689,"Relapsing fever, unspecified"
A69,Other spirochetal infections
A690,Necrotizing ulcerative stomatitis
A691,Other Vincent's infections
A692,Lyme disease
A6920,"Lyme disease, unspecified"
A6921,Meningitis due to Lyme disease
A6922,Other neurologic disorders in Lyme disease
A6923,Arthritis due to Lyme disease
A6929,Other conditions associated with Lyme disease
A698,Other specified spirochetal infections
A699,"Spirochetal infection, unspecified"
A70,Chlamydia psittaci infections
A71,Trachoma
A710,Initial stage of trachoma
A711,Active stage of trachoma
A719,"Trachoma, unspecified"
A74,Other diseases caused by chlamydiae
A740,Chlamydial conjunctivitis
A748,Other chlamydial diseases
A7481,Chlamydial peritonitis
A7489,Other chlamydial diseases
A749,"Chlamydial infection, unspecified"
A75,Typhus fever
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A751,Recrudescent typhus [Brill's disease]
A752,Typhus fever due to Rickettsia typhi
A753,Typhus fever due to Rickettsia tsutsugamushi
A759,"Typhus fever, unspecified"
A77,Spotted fever [tick-borne rickettsioses]
A770,Spotted fever due to Rickettsia rickettsii
A771,Spotted fever due to Rickettsia conorii
A772,Spotted fever due to Rickettsia siberica
A773,Spotted fever due to Rickettsia australis
A774,Ehrlichiosis
A7740,"Ehrlichiosis, unspecified"
A7741,Ehrlichiosis chafeensis [E. chafeensis]
A7749,Other ehrlichiosis
A778,Other spotted fevers
A779,"Spotted fever, unspecified"
A78,Q fever
A79,Other rickettsioses
A790,Trench fever
A791,Rickettsialpox due to Rickettsia akari
A798,Other specified rickettsioses
A7981,Rickettsiosis due to Ehrlichia sennetsu
A7982,Anaplasmosis [A. phagocytophilum]
A7989,Other specified rickettsioses
A799,"Rickettsiosis, unspecified"
A80,Acute poliomyelitis
A800,"Acute paralytic poliomyelitis, vaccine-associated"
A801,"Acute paralytic poliomyelitis, wild virus, imported"
A802,"Acute paralytic poliomyelitis, wild virus, indigenous"
A803,"Acute paralytic poliomyelitis, other and unspecified"
A8030,"Acute paralytic poliomyelitis, unspecified"
A8039,Other acute paralytic poliomyelitis
A804,Acute nonparalytic poliomyelitis
A809,"Acute poliomyelitis, unspecified"
A81,Atypical virus infections of central nervous system
A810,Creutzfeldt-Jakob disease
A8100,"Creutzfeldt-Jakob disease, unspecified"
A8101,Variant Creutzfeldt-Jakob disease
A8109,Other Creutzfeldt-Jakob disease
A811,Subacute sclerosing panencephalitis
A812,Progressive multifocal leukoencephalopathy
A818,Other atypical virus infections of central nervous system
A8181,Kuru
A8182,Gerstmann-Straussler-Scheinker syndrome
A8183,Fatal familial insomnia
A8189,Other atypical virus infections of central nervous system
A819,"Atypical virus infection of central nervous system, unspecified"
A82,Rabies
A820,Sylvatic rabies
A821,Urban rabies
A829,"Rabies, unspecified"
A83,Mosquito-borne viral encephalitis
A830,Japanese encephalitis
A831,Western equine encephalitis
A832,Eastern equine encephalitis
A833,St Louis encephalitis
A834,Australian encephalitis
A835,California encephalitis
A836,Rocio virus disease
A838,Other mosquito-borne viral encephalitis
A839,"Mosquito-borne viral encephalitis, unspecified"
A84,Tick-borne viral encephalitis
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A841,Central European tick-borne encephalitis
A848,Other tick-borne viral encephalitis
A8481,Powassan virus disease
A8489,Other tick-borne viral encephalitis
A849,"Tick-borne viral encephalitis, unspecified"
A85,"Other viral encephalitis, not elsewhere classified"
A850,Enteroviral encephalitis
A851,Adenoviral encephalitis
A852,"Arthropod-borne viral encephalitis, unspecified"
A858,Other specified viral encephalitis
A86,Unspecified viral encephalitis
A87,Viral meningitis
A870,Enteroviral meningitis
A871,Adenoviral meningitis
A872,Lymphocytic choriomeningitis
A878,Other viral meningitis
A879,"Viral meningitis, unspecified"
A88,"Other viral infections of central nervous system, not elsewhere classified"
A880,Enteroviral exanthematous fever [Boston exanthem]
A881,Epidemic vertigo
A888,Other specified viral infections of central nervous system
A89,Unspecified viral infection of central nervous system
A90,Dengue fever [classical dengue]
A91,Dengue hemorrhagic fever
A92,Other mosquito-borne viral fevers
A920,Chikungunya virus disease
A921,O'nyong-nyong fever
A922,Venezuelan equine fever
A923,West Nile virus infection
A9230,"West Nile virus infection, unspecified"
A9231,West Nile virus infection with encephalitis
A9232,West Nile virus infection with other neurologic manifestation
A9239,West Nile virus infection with other complications
A924,Rift Valley fever
A925,Zika virus disease
A928,Other specified mosquito-borne viral fevers
A929,"Mosquito-borne viral fever, unspecified"
A93,"Other arthropod-borne viral fevers, not elsewhere classified"
A930,Oropouche virus disease
A931,Sandfly fever
A932,Colorado tick fever
A938,Other specified arthropod-borne viral fevers
A94,Unspecified arthropod-borne viral fever
A95,Yellow fever
A950,Sylvatic yellow fever
A951,Urban yellow fever
A959,"Yellow fever, unspecified"
A96,Arenaviral hemorrhagic fever
A960,Junin hemorrhagic fever
A961,Machupo hemorrhagic fever
A962,Lassa fever
A968,Other arenaviral hemorrhagic fevers
A969,"Arenaviral hemorrhagic fever, unspecified"
A98,"Other viral hemorrhagic fevers, not elsewhere classified"
A980,Crimean-Congo hemorrhagic fever
A981,Omsk hemorrhagic fever
A982,Kyasanur Forest disease
A983,Marburg virus disease
A984,Ebola virus disease
A985,Hemorrhagic fever with renal syndrome
A988,Other specified viral hemorrhagic fevers
A99,Unspecified viral hemorrhagic fever
B00,Herpesviral [herpes simplex] infections
B000,Eczema herpeticum
B001,Herpesviral vesicular dermatitis
B002,Herpesviral gingivostomatitis and pharyngotonsillitis
B003,Herpesviral meningitis
B004,Herpesviral encephalitis
B005,Herpesviral ocular disease
B0050,"Herpesviral ocular disease, unspecified"
B0051,Herpesviral iridocyclitis
B0052,Herpesviral keratitis
B0053,Herpesviral conjunctivitis
B0059,Other herpesviral disease of eye
B007,Disseminated herpesviral disease
B008,Other forms of herpesviral infections
B0081,Herpesviral hepatitis
B0082,Herpes simplex myelitis
B0089,Other herpesviral infection
B009,"Herpesviral infection, unspecified"
B01,Varicella [chickenpox]
B010,Varicella meningitis
B011,"Varicella encephalitis, myelitis and encephalomyelitis"
B0111,Varicella encephalitis and encephalomyelitis
B0112,Varicella myelitis
B012,Varicella pneumonia
B018,Varicella with other complications
B0181,Varicella keratitis
B0189,Other varicella complications
B019,Varicella without complication
B02,Zoster [herpes zoster]
B020,Zoster encephalitis
B021,Zoster meningitis
B022,Zoster with other nervous system involvement
B0221,Postherpetic geniculate ganglionitis
B0222,Postherpetic trigeminal neuralgia
B0223,Postherpetic polyneuropathy
B0224,Postherpetic myelitis
B0229,Other postherpetic nervous system involvement
B023,Zoster ocular disease
B0230,"Zoster ocular disease, unspecified"
B0231,Zoster conjunctivitis
B0232,Zoster iridocyclitis
B0233,Zoster keratitis
B0234,Zoster scleritis
B0239,Other herpes zoster eye disease
B027,Disseminated zoster
B028,Zoster with other complications
B029,Zoster without complications
B03,Smallpox
B04,Monkeypox
B05,Measles
B050,Measles complicated by encephalitis
B051,Measles complicated by meningitis
B052,Measles complicated by pneumonia
B053,Measles complicated by otitis media
B054,Measles with intestinal complications
B058,Measles with other complications
B0581,Measles keratitis and keratoconjunctivitis
B0589,Other measles complications
B059,Measles without complication
B06,Rubella [German measles]
B060,Rubella with neurological complications
B0600,"Rubella with neurological complication, unspecified"
B0601,Rubella encephalitis
B0602,Rubella meningitis
B0609,Other neurological complications of rubella
B068,Rubella with other complications
B0681,Rubella pneumonia
B0682,Rubella arthritis
B0689,Other rubella complications
B069,Rubella without complication
B07,Viral warts
B070,Plantar wart
B078,Other viral warts
B079,"Viral wart, unspecified"
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
B080,Other orthopoxvirus infections
B0801,Cowpox and vaccinia not from vaccine
B08010,Cowpox
B08011,Vaccinia not from vaccine
B0802,Orf virus disease
B0803,Pseudocowpox [milker's node]
B0804,"Paravaccinia, unspecified"
B0809,Other orthopoxvirus infections
B081,Molluscum contagiosum
B082,Exanthema subitum [sixth disease]
B0820,"Exanthema subitum [sixth disease], unspecified"
B0821,Exanthema subitum [sixth disease] due to human herpesvirus 6
B0822,Exanthema subitum [sixth disease] due to human herpesvirus 7
B083,Erythema infectiosum [fifth disease]
B084,Enteroviral vesicular stomatitis with exanthem
B085,Enteroviral vesicular pharyngitis
B086,Parapoxvirus infections
B0860,"Parapoxvirus infection, unspecified"
B0861,Bovine stomatitis
B0862,Sealpox
B0869,Other parapoxvirus infections
B087,Yatapoxvirus infections
B0870,"Yatapoxvirus infection, unspecified"
